Code|RUES|"Service des Impôts des Particuliers
(SIP)"|Secteur d'assiette (SA)|Trésorerie|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|"Service de Publicité Foncière 
(SPF) "|||||||
0323|ANDRE NAVARRA (IMP)|TO|3|0018|TMI|TO3|TO1|||||||
0324|ANDRE THEURIET (CHEM)|B|1|0092|B|TO3|TO1|||||||
0325|ANDRE HAON (RUE)|TN|2|0063|TN|TO3|TO1|||||||
0326|ANDRE HAON (IMP)|TN|2|0063|TN|TO3|TO1|||||||
0327|ANDRE VASSEUR (IMP)|B|1|0092|B|TO3|TO1|||||||
0328|ANDRE VASSEUR (RUE)|B|1|0092|B|TO3|TO1|||||||
0329|ANDRE DANDINE (IMP)|TNO|3|0064|TNO|TO3|TO1|||||||
0330|ANDRE VILLET (RUE)|TSE|3|0028|TR|TO3|TO1|||||||
0331|ANDRE MAUROIS (ALL)|TSO|1|0029|TMI|TO3|TO2|||||||
0332|ANDREOSSY (RUE)|TSE|3|0028|TR|TO3|TO1|||||||
0333|ANDRE MAUROIS (PASSAGE)|TSO|3|0029|TMI|TO3|TO2|||||||
0333|ANDRE MAUROIS (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0334|ANDRE GASTOU (PASSAGE)|TSO|1|0029|TMI|TO3|TO2|||||||
0335|ANDRE CHAUBET (PASSAGE)|TNO|002|0064|TNO|TO3|TO1|||||||
0336|ANEMONES (RUE DES)|B|1|0092|B|TO3|TO1|||||||
0337|ANDRE MAGINOT (ALLEE)|TSO|1|0029|TMI|TO3|TO2|||||||
0340|ANGES (IMP DES)|TN|1|0063|TN|TO3|TO1|||||||
0344|ANGES (RUE DES)|TN|1|0063|TN|TO3|TO1|||||||
0348|ANGLA (AVE)|B|1|0092|B|TO3|TO1|||||||
0349|ANGLADE (IMP)|TSE|4|0028|TR|TO3|TO1|||||||
0352|ANGOUMOIS (IMP DE L')|TO|3|0018|TMI|TO3|TO2|||||||
0356|ANJOU (RUE DE L')|TSO|1|0029|TMI|TO3|TO2|||||||
0357|DANIEL SORANO (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0358|ANNA DE NOAILLES (ESPACE)|TO|2|0018|TMI|TO3|TO2|||||||
0358|ANNA DE NOAILLES (RPT)|TO|2|0018|TMI|TO3|TO2|||||||
0358|ANNA DE NOAILLES (ESPACE)|TO|003|0018|TMI|TO3|TO2|||||||
0359|ANNE GUIBAL CAMMAS(RUE)|TO|1|0018|TMI|TO3|TO2|||||||
0360|ANNECY (RUE D')|B|1|0092|B|TO3|TO1|||||||
0362|GENEVIEVE ANTHONIOZ DE GAULLE (PLACE)|TSO|1|0029|TMI|TO3|TO2|||||||
0363|ANNIE GIRARDOT (RUE)|TO|1|0018|TMI|TO3|TO2|||||||
0363|ANNIE GIRARDOT (RUE)|TO|1|0018|TMI|TO3|TO2|||||||
0364|ANTIBES (RUE D')|TR|2|0065|TR|TO3|TO1|||||||
0365|ANNE FRANK (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0368|ANTILLES (RUE DES)|B|1|0092|B|TO3|TO1|||||||
0372|ANTIPOUL (RUE D')|TSO|1|0029|TMI|TO3|TO2|||||||
0374|ANTOINE DE GARGAS (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
0375|PROFESSEUR ANTOINE BAISSET (RUE DU)|TO|3|0018|TMI|TO3|TO2|||||||
0376|ANTOINE COURTHIEU (RUE)|B|1|0092|B|TO3|TO1|||||||
0377|ANTOINE DE MALRAS (RUE )|TSO|1|0029|TMI|TO3|TO2|||||||
0378|ANTOINE LAUMET (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0379|ANTOINE PASTRE (RUE)|B|1|0092|B|TO3|TO1|||||||
0380|ANTOINE PAUTARD (RUE)|TSE|1|0028|TR|TO3|TO1|||||||
0382|ANTOINE PORTAL (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0384|ANTOINE PUGET (RUE)|TN|1|0063|TN|TO3|TO1|||||||
0388|ANTOINE RICORD (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0392|ANTOINE WATTEAU (RUE)|TNO|3|0064|TNO|TO3|TO1|||||||
0396|ANTOINE BAYES (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0397|ANTOINE OSETE (ALL)|TO|3|0018|TMI|TO3|TO2|||||||
0398|ANTONIN FROIDURE (PLACE)|B|1|0092|B|TO3|TO1|||||||
0399|ANTONIN DELOUME (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0400|ANTONIN MERCIE (RUE)|TC|1|0027|TC|TO3|TO1|||||||
0401|ANTONIO VIVALDI (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
0402|ANTONIO MACHADO (ALL)|TO|3|0018|TMI|TO3|TO2|||||||
0403|ANTONIN PEYRILLOUS (RUE)|TNO|003|0064|TNO|TO3|TO1|||||||
0404|AQUEDUC (RUE DE L')|TSE|1|0028|TR|TO3|TO1|||||||
0408|AQUITAINE (RUE DE L')|TN|1|0063|TN|TO3|TO1|||||||
0412|ARAGO (PLACE)|B|1|0092|B|TO3|TO1|||||||
0416|ARAGO (RUE)|B|1|0092|B|TO3|TO1|||||||
0417|SARABELLE (RUE DE)|TSE|4|0028|TR|TO3|TO1|||||||
0420|ARBUSTES (RUE DES)|B|1|0092|B|TO3|TO1|||||||
0422|ARC (RUE DE L')|TC|3|0027|TC|TO3|TO1|||||||
0423|ARC EN CIEL (RUE DE L')|TO|2|0018|TMI|TO3|TO2|||||||
0424|ARCACHON (RUE D')|TN|1|0063|TN|TO3|TO1|||||||
0425|ARCHIVES (RUE DES )|B|1|0092|B|TO3|TO1|||||||
0428|ARCOLE (BLD D')|TC|3|0027|TC|TO3|TO1|||||||
0432|ARCS SAINT CYPRIEN (IMP)|TSO|1|0029|TMI|TO3|TO2|||||||
0436|ARCS SAINT CYPRIEN (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0440|ARDECHE (RUE DE L')|TSO|1|0029|TMI|TO3|TO2|||||||
0444|ARDENNES (RUE DES)|TO|3|0018|TMI|TO3|TO2|||||||
0445|ARENES (IMP)|TO|2|0018|TMI|TO3|TO2|||||||
0448|ARENES ROMAINES (AVE DES)|TO|4|0018|TMI|TO3|TO2|||||||
0452|ARGONNE (RUE DE L')|B|1|0092|B|TO3|TO1|||||||
0455|ARGOULETS (IMP)|B|1|0092|B|TO3|TO1|||||||
0456|ARGOULETS (CHEM DES)|B|1|0092|B|TO3|TO1|||||||
0460|ARIANE (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0464|ARIEGE (RUE DE L')|TSE|4|0028|TR|TO3|TO1|||||||
0466|ARISTIDE BERGES (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0468|ARISTIDE BRIAND (AVE)|TR|1|0065|TR|TO3|TO1|||||||
0470|ARISTIDE MAILLOL (RUE)|TO|2|0018|TMI|TO3|TO2|||||||
0472|ARISTIDE PILLAT (IMP)|TSO|1|0029|TMI|TO3|TO2|||||||
0476|ARISTOTE (RUE)|TR|1|0065|TR|TO3|TO1|||||||
0479|ARLETTY (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0480|ARLES (RUE D')|B|1|0092|B|TO3|TO1|||||||
0482|ARLESIENNE (RUE DE L')|TSE|4|0028|TR|TO3|TO1|||||||
0484|ARMAGNAC (RUE D')|B|1|0092|B|TO3|TO1|||||||
0488|ARMAND CARREL (IMP)|B|1|0092|B|TO3|TO1|||||||
0492|ARMAND DUPORTAL (BLD)|TNO|1|0064|TNO|TO3|TO1|||||||
0493|ARMAND DUPORTAL (PLACE)|TNO|1|0064|TNO|TO3|TO1|||||||
0494|ARMAND FALLIERES (PLACE)|TO|3|0018|TMI|TO3|TO2|||||||
0496|ARMAND LEYGUE (AVE)|TSE|2|0028|TR|TO3|TO1|||||||
0497|ARMAND LEYGUE (PLACE)|TSE|2|0028|TR|TO3|TO1|||||||
0504|ARMAND MARRAST (RUE)|TNO|3|0064|TNO|TO3|TO1|||||||
0506|ARMAND PRAVIEL (RUE)|B|1|0092|B|TO3|TO1|||||||
0508|ARMAND SYLVESTRE (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
0510|ARMEE D  AFRIQUE (PLACE)|B|1|0092|B|TO3|TO1|||||||
0511|ARMES (PLACE D')|TNO|1|0064|TNO|TO3|TO1|||||||
0512|ARMENTIERES (RUE D')|TSE|3|0028|TR|TO3|TO1|||||||
0513|ARNAUD BARIC (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0516|ARNAUD BERNARD (IMP)|TNO|1|0064|TNO|TO3|TO1|||||||
0520|ARNAUD BERNARD (PLACE)  (10 à 26)|TC|3|0027|TC|TO3|TO1|||||||
0520|ARNAUD BERNARD (PLACE)  (9A) |TC|3|0027|TC|TO3|TO1|||||||
0520|ARNAUD BERNARD (PLACE)  (9B à 25)|TC|3|0027|TC|TO3|TO1|||||||
0520|ARNAUD BERNARD (PLACE)  (1 à 9 et 27 à la fin)|TNO|1|0064|TNO|TO3|TO1|||||||
0520|ARNAUD BERNARD (PLACE)  (2 à 8)|TNO|1|0064|TNO|TO3|TO1|||||||
0520|ARNAUD BERNARD (PLACE) (28 à la fin)|TNO|1|0064|TNO|TO3|TO1|||||||
0524|ARNAUD BERNARD (RUE)|TNO|1|0064|TNO|TO3|TO1|||||||
0527|ARNAUD DANIEL (IMP)|TO|4|0018|TMI|TO3|TO2|||||||
0528|ARNAUD DE MOLLES (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
0530|ARNAUD LOUIS GUITARD (RPT)|TSO|1|0029|TMI|TO3|TO2|||||||
0532|ARNAUD VIDAL (RUE)|TC|3|0027|TC|TO3|TO1|||||||
0534|ARRIA LY (ALLEE)|B|1|0092|B|TO3|TO1|||||||
0536|ARSENE D'ARSONVAL (RUE)|TN|4|0063|TN|TO3|TO1|||||||
0538|ARSENE VERMENOUZE (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0540|ARTHUR HONEGGER (RUE)|TNO|3|0064|TNO|TO3|TO1|||||||
0541|ARTHUR HUC (AVE)|TO|3|0018|TMI|TO3|TO2|||||||
0544|ARTHUR LEGOUST (RUE)|B|1|0092|B|TO3|TO1|||||||
0546|ARTHUR RIMBAUD (RUE)|TN|3|0063|TN|TO3|TO1|||||||
0548|ARTISTES (RUE DES)|TNO|4|0064|TNO|TO3|TO1|||||||
0552|ARTOIS (RUE DE L')|TO|3|0018|TMI|TO3|TO2|||||||
0556|ARTS (RUE DES)|TC|1|0027|TC|TO3|TO1|||||||
0563|ARZAC (IMP)|TSO|1|0029|TMI|TO3|TO2|||||||
0564|ARZAC (PLACE)|TSO|1|0029|TMI|TO3|TO2|||||||
0568|ARZAC (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0571|ASPHODELES (RUE DES)|TO|3|0018|TMI|TO3|TO2|||||||
0572|ASPIN (RUE DE L')|TO|3|0018|TMI|TO3|TO2|||||||
0574|ASPIRANT LEON BUFFET (RUE)|TR|4|0065|TR|TO3|TO1|||||||
0580|ASSALIT (RUE D')|B|1|0092|B|TO3|TO1|||||||
0584|ASSEZAT (PLACE D')|TNO|1|0064|TNO|TO3|TO1|||||||
0588|ASTORG (RUE D')   (Pairs)|TC|1|0027|TC|TO3|TO1|||||||
0588|ASTORG (RUE D')  (Impairs)|TC|3|0027|TC|TO3|TO1|||||||
0594|ATLANTA (AVE D')|B|1|0092|B|TO3|TO1|||||||
0596|AUBEPINE (RUE DE L')|TSE|4|0028|TR|TO3|TO1|||||||
0599|GENERAL AUBERT FRERE (IMP)|B|1|0092|B|TO3|TO1|||||||
0600|AUBER (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
0604|AUBISQUE (RUE DE L')|TSE|1|0028|TR|TO3|TO1|||||||
0608|AUBUISSON (RUE D')|TC|3|0027|TC|TO3|TO1|||||||
0612|AUCH (RUE D')|TSO|1|0029|TMI|TO3|TO2|||||||
0616|AUDE (RUE DE L')|TSE|4|0028|TR|TO3|TO1|||||||
0620|AUDIBERT (CHEM D')|TN|4|0063|TN|TO3|TO1|||||||
0624|AUDIGUIER (RUE)|B|1|0092|B|TO3|TO1|||||||
0632|AUFRERY (RUE)|B|1|0092|B|TO3|TO1|||||||
0635|AUGUSTE ALBERT (PLACE)|TSE|1|0028|TR|TO3|TO1|||||||
0636|AUGUSTE BARTHOLDI (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
0640|AUGUSTE COMTE (RUE)|TR|2|0065|TR|TO3|TO1|||||||
0642|RPT AUGUSTE DESARNAUTS|TO|1|0018|TMI|TO3|TO2|||||||
0644|AUGUSTE DIDE (RUE)|TSE|1|0028|TR|TO3|TO1|||||||
0647|AUGUSTE FOURES (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
